id;name;socket_url;email
1;remand finally;peony that;Nicolas8@gmail.com
2;switch;pfft technician doubtfully;Hugo6@hotmail.com
3;oof;beyond striking because;JuanCarlos.CasanovaOrozco76@hotmail.com
4;apropos but;familiar cap;Roberto53@gmail.com
5;consequently soulful;er intently;Manuel_ArenasCarbajal@hotmail.com
6;pointless psst;but;Juan36@yahoo.com
7;bah however to;than;MariadelosAngeles46@hotmail.com
8;consequently;overcoat till;Catalina.CarranzaOrtiz28@gmail.com
9;gape familiar;grass;Oscar42@hotmail.com
10;silently deadly colorfully;fit anxiously derby;Teodoro_TijerinaCamarillo89@hotmail.com
